keyword,volume,kd,cpc_low,cpc_high,funnel,intent,trend,peak_months,ai_overview_prone,flags
if washing machine is not spinning,10,17,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/May/Jun,False,
washer motor not working,10,17,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Sep/Oct/Nov/Dec/Mar/Apr/Jun,False,
washing machine drum not turning by hand,10,17,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Nov/Feb/Jun,False,
samsung washing machine locked and won t open,10,17,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Sep/Oct/Nov/Feb/Mar/May/Jun,False,
washer not draining and spinning,10,23,0.0,0.0,MOFU,commercial,STABLE,Feb,False,
washer will not drain and spin,10,23,0.0,0.0,MOFU,commercial,STABLE,Feb,False,
washer won t drain and spin,10,23,0.0,0.0,MOFU,commercial,STABLE,Feb,False,
washer wont drain and spin,10,23,0.0,0.0,MOFU,commercial,STABLE,Feb,False,
washing machine will not drain and spin,10,23,0.0,0.0,MOFU,commercial,STABLE,Feb,True,voice
cause of washing machine not draining,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
lg automatic washing machine not draining,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr/Jun,False,
my washing machine has water in it,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Nov/Jun,False,
samsung washer draining problems,10,38,0.0,0.0,MOFU,commercial,GROWING,Jul/Oct/Nov/Dec/Mar/Apr/Jun,False,
samsung washing machine drain problem,10,38,0.0,0.0,MOFU,commercial,GROWING,Jul/Oct/Nov/Dec/Mar/Apr/Jun,False,
water is not going out from washing machine,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Aug/Jun,True,voice
washer not spinning clothes dry,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr/Jun,False,
lg washing machine drum not rotating,10,38,0.0,0.0,MOFU,commercial,GROWING,Jul/Oct/Nov/Jan/Feb/Mar/Apr/May/Jun,False,
causes of washing machine not draining,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
lg top load washing machine drum not rotating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
panasonic automatic washing machine not spinning,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Dec/Jun,False,
samsung ecobubble drum not turning,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
samsung washing machine won t finish spin cycle,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
wash machine not spinning clothes dry,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr/Jun,False,
washer does not spin clothes dry,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr/Jun,False,
